ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0000849542-25-000002	foreignAgency	1	The Bank of New York Mellon Corporation	Administrative Order Imposing a Fine	14-NOV-2010	Bundesanstalt fur Finanzdienstleistungsaufscht - Germany	Bundesanstalt fur Finanzdienstleistungsaufscht (the BaFin), the financial supervisory authority in Germany, alleged that The Bank of New York Mellon Corporation (BNY Mellon) violated certain supervisory duties under the Securities Trading Act (the Act). Under this Act, anyone whose shareholding in a German issuer reaches, exceeds or falls below 3%, 5%, 10%, 15%, 20%, 30%, 50%, or 75% of the voting rights shall notify the issuer and the BaFin, without undue delay, and within four trading days at the latest. The BaFin alleged that: (1) notifications sent by BNY Mellon on behalf of certain subsidiaries to a German issuer and the BaFin of the reduction of its voting shares in the issuer below the 3% threshold was one month late and (2) BNY Mellon failed to take the supervisory measures required under the Act to prevent contravention of the shareholding notice obligations by its subsidiaries. On May 12, 2011, the BaFin issued an administrative order that: (1) determined that BNY Mellon negligently failed to comply with the supervisory requirements with respect to its subsidiaries in order to ensure compliance with the notification deadlines and (2) imposed against BNY Mellon an administrative fine of EUR 22,500.00 (approx. $31,725) and a fee (for procedural costs) of EUR 1,125.00 (approx. $1,586). BNY Mellon made payment effective May 27, 2011.	See response in 10(f)(v).
0000849542-25-000002	fsrFoundOrderAgainstApplicant	1	One or more control affiliates - See attached file for Question 10 data	See attached file for Question 10 data	17-DEC-2007	See attached file for Question 10 data	See attached file for Question 10 data	See attached file for Question 10 data
0000849542-25-000002	fsrViolationOfInvestmentRelatedRegulation	3	BNY Mellon Fund Services (Ireland) DAC	NA	22-MAR-2022	Central Bank of Ireland aka CBI	In 2017, the CBI commenced an enforcement investigation against DAC, an Irish entity, in relation to the oversight of outsourced fund administration activities and related regulatory engagement. As part of the investigation, the CBI identified suspected breaches of Irish law/regulation between 2013 and 2019, which the CBI refers to as suspected prescribed contraventions.	DAC agreed to a settlement with the CBI pursuant to which the CBI reprimanded and fined DAC pursuant to its Administrative Sanctions Procedure for 16 regulatory breaches relating to the outsourcing of fund administration activities.
0000849542-25-000002	fsrFoundOrderAgainstApplicant	2	The Bank of New York Mellon Corporation (BNYM) and Newton Investment Management Limitied (NIM)	CMP/01-2016/CA98	21-FEB-2019	U.K. Financial Conduct Authority (FCA)	On 21 February 2019, FCA found that NIM, through the actions of a former employee in 2014 and 2015, shared information with three other UK investment advisors in relation to 2initial public offerings and 1 placing by UK issuers by disclosing the price intended to pay, or accepting such information, or both, shortly before the share prices were set. The FCA found that parts of this conducts violated the UK Competition Act 1998. NIM self-reported this matter to the FCA following identification of the issue. The former employee's actions contravened NIM's code of conduct and ethical standards, and the employee has since been dismissed. BNYM was found jointly and severally liable by reason if being NIM's ultimate parent company. Neither BNYM nor any of its employees was involved in any aspect of the relevant conduct and there has been no allegation nor negative finding by the FCA in respect of the conduct of BNYM.	The FCA issued their decision on 21 February 2019. The FCA's findings are provisional and the parties are entitled to make written and oral representations on them. Following any such representations by the parties, the FCA will make its final decision.
0000849542-25-000002	fsrRegistrationDeniedOrSuspended	1	One or more control affiliates - See attached file for Question 10 Data	See attached file for Question 10 Data	17-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000849542-25-000002	fsrViolationOfInvestmentRelatedRegulation	2	The Bank of New York Mellon (BNYM)	Docket Number 12-018-CMP-SMB	01-DEC-2010	Board of Governors of the Federal Reserve System (BGFRS)	"On 9/22/08, BNYM borrowed from the Boston Federal Reserve Bank under the Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (""AMLF"") program. It alleged that due to a failure in its internal processes at the time, a portion of the Asset-Backed Commercial Paper (""ABCP"") collateral pledged by BNYM was ineligible under the terms of the AMLF. As a result, BNYM received more in the AMLF loans proceeds than it otherwise would have been advanced, based upon eligible ABCP collateral pledged."	The BGFRS and BNYM have mutually agreed to enter into a combined Order to Cease & Desist and Order of Assessment of a Civil Monetary Penalty of $6,000,000.
0000849542-25-000002	sraFalseStatementOrOmission	1	One or more control affiliates - See attached file for Question 10 Data	See attached file for Question 10 Data	14-APR-2009	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000849542-25-000002	sraViolationOfRules	1	One or more control affiliates - See attached file for Question 10 Data	See attached file for Question 10 Data	17-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000849542-25-000002	subjectOfProceedings	1	The Bank of New York Corporation (BNYM)	CMP/01-2016/CA98	29-NOV-2017	U.K. Financial Conduct Authority (FCA), England	The FCA has made provisional findings that BNYM is jointly and severally liable for certain conduct of its subsidiary Newton Investment Management Limited (NIM) solely by reason on being NIM's parent company. Neither BNYM nor any of its employees was involved in any aspect of the relevant conduct. The FAC has made provisional findings that NIM shared information with three other U.K. investment advisers in relation to two Initial Public Offerings (IPOs) and one placing by U.K. issuers by disclosing the price it intended to pay, or accepting such information, or both, shortly before the share prices were set. The FCA has provisionally concluded that the conduct infringed the prohibition imposed by section 2(1) of the U.K. Competition Act of 1998 and Article 101 of the Treaty on the Functioning of the European Union which prohibits concerted practices which have as their object the prevention, restriction or distortion of competition.	FCA's findings are provisional and the parties are entitled to make written and oral representations on them. Following any such representations, the FCA will make its final decision which the parties can challenge before the Competition Appeal Tribunal.
0000849542-25-000002	violationOfRegulations	1	One or more controlled affiliates - See attached file for Question 10 Data	See attached file for Question 10 Data	17-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000849542-25-000002	violationOfRegulations	2	The Bank of New York Mellon	SEC Admin Preceeding File No. 3-12269	24-APR-2006	U.S. Securities and Exchange Commission	The SEC alleged that the Bank of New York Mellon (formerly The Bank of New York) failed as a transfer agent to exercise reasonable care to obtain the correct addresses of lost security holders and escheated assets belonging to those various security holders.	Disposition: See 10(c)(2)(v) above.
0000849542-25-000002	violationOfRegulations	3	The Bank of New York Mellon	SEC Proceeding File No. 3-12526	09-JAN-2007	U.S. Securities and Exchange Commission	The SEC alleged that from at least January 1, 2003 to June 30, 2004, in connection with certain auctions, The Bank of New York Mellon (formerly The Bank of New York) (BNY)accepted initial or revised bids after submission deadlines and allowed broker-dealers to intervene in auctions. In certain instances, this conduct also affected the rate paid on the auction rate securities. As a result, BNY caused violations of section 17(a)(2) of the Securities Act. BNY was required to make certain disclosures regarding its material auction practices and procedures; and not later than 6 months after the date of this order, unless otherwise extended by the Staff of the Commission for good cause shown, have its CEO or General Counsel certify in writing to the Staff of the Commission that BNY has implemented procedures. In addition, BNY paid a monetary settlement in the amount of $750,000.	See 10(c)(2)(V) above.
0000849542-25-000002	violationOfRegulations	4	CIBC Mellon Trust Company	U.S. Securities and Exchange Commission v. CIBC Mellon Trust Company	14-JAN-2005	See 10(b)(1) above.	See 10(b)(1) above.	See 10(b)(1) above.
0000849542-25-000002	violationOfRegulations	5	The Bank of New York Mellon Corporation (BNY Mellon)	SEC Release No. 34-75720	18-AUG-2015	U.S. Securities and Exchange Commission (SEC)	The SEC staff alleged violations of the U.S. Foreign Corrupt Practices Act in connection with the provision of a limited number of internships to relatives of sovereign wealth fund officials.	An order was issued against BNY Mellon in the amount of $14,800,000 consisting of disgorgement of fees of $8,300,000, prejudgment interest of $1,500,000 and a civil monetary penalty in the amount of $5,000,000. BNY Mellon effected payment on Aug 24, 2015.
0000849542-25-000002	violationOfRegulations	6	The Bank of New York Mellon (The Bank)	SEC Admin Preceeding File No. 3-17268	13-JUN-2016	U.S. Securities and Exchange Commission	See 10(c)(1)(v) above.	See 10(c)(1)(v) above.
0000849542-25-000002	violationOfRegulations	7	The Bank of New York Mellon Corporation (BNY Mellon)	SEC Release No. 34-79777; Admin File No. 3-17768	12-JAN-2017	U.S. Securities and Exchange Commission (SEC)	The SEC staff alleged violations of Sections 13(b)(2)(A) and (B) of the Securities and Exchange Act of 1934 for books and records and internal regulatory accounting control deficiencies in connection with the calculation of risk-based regulatory capital ratio presented in annual and quarterly reports filed with the SEC.	: A civil monetary penalty in the amount of $6,600,000 was ordered to be paid by BNY Mellon. BNY Mellon will effect payment on a date TBD.
0000849542-25-000002	violationOfRegulations	8	: The Bank of New York Mellon (BNY Mellon)	SEC Release No. 33-10856; Admin Proceeding File No. 3-18933	17-DEC-2018	Securities and Exchange Commission (SEC)	"This action arises out of the SEC's assertion that BNY Mellon, as depositary bank, engaged in improper practices in connection with the pre-release of American Depositary Receipts (""ADRs""). Specifically, the SEC staff alleged violations of Section 17(a)(3) of the Securities Act of 1933, which prohibits, in the offer or sale of securities, engaging in any transaction, practice, or course of business which operates or would operate as a fraud or deceit upon the purchaser. As the SEC Order relates, (1) ADRs are negotiable instruments that trade on a U.S. market that represent an interest in a specified number foreign securities that have been deposited with a depositary bank or with the depositary bank's foreign custodian; (2) ADRs allow U.S. investors to invest in foreign companies without having to purchase shares in the foreign market; (3) in some situations, a person may seek to obtain ADRs through a ""pre-release"" transaction whereby a market participant obtains newly-issued ADRs from the depositary bank (as opposed to purchasing an existing ADR from the market) without having already delivered the corresponding ordinary shares to the custodian; (4) the traditional rationale for pre-release transactions was to address settlement timing disparities that could delay delivery to the foreign custodian of recently purchased ordinary shares; and (5) several instruments (the ""Pre-Release Agreements""), including the agreements with the depositary bank, the ADR itself and pre-release agreements with the involved broker-dealers (""Pre-Release Brokers""), either included or required BNY Mellon to obtain representations from the Pre-Release Brokers stating that for the duration of each pre-release transaction, the Pre-Release Broker or its customer (I) beneficially owned corresponding ordinary shares, (ii) assigned all beneficial right, title, and interest in the shares to the depositary, (iii) would not take any action with respect to such shares that was inconsistent with the transfer of beneficial ownership, and (iv) would pay foreign withholding taxes at the rate required for ADR holders and pass through to the depositary any dividends and dividend-related tax credits or refunds. The SEC found that BNY Mellon (1) did not take reasonable steps to determine that the Pre-Release Brokers or their counterparties complied with the obligations set forth in the Pre-Release Agreements and (2) at times, negligently facilitated short selling and enabled the settlement of trades with some ADRs that were not actually backed by the ordinary shares held for the benefit of the depositary in accordance with the requirements of the ADR facility."	On 12/17/18 the SEC entered into an administrative settlement on a neither-admit-nor-deny basis with BNY Mellon in which BNY Mellon agreed to pay $29.3 million in disgorgement, prejudgment interest of $4.2 million and a civil penalty of $20.5 million.
0000849542-25-000002	violationOfRegulations	9	The Bank of New York Mellon Corporation (BNYM)	CFTC Docket No. 19-42	30-SEP-2019	Commodities Futures Trading Commission (CFTC)	The CFTC alleged that BNYM failed to correctly report certain swap transactions to a swap data repository from December 31, 2012 through at least 2018, in violation of Sections 2(a)(13)(G) and 4r(a)(3) of the Commodity Exchange Act, 7 U.S.C. 2(a)(13)(G), 6r(a)(3) (2012), and Regulations 43.3 and 45.3, 17 C.F.R. 43.3, 45.3 (2019) (the collectively, CFTC Rules.)	On September 30, 2019, without admitting or denying any of the findings or conclusions, a settlement was reached in which BNY Mellon was ordered to cease and desist from violating the CFTC Rules and pay a civil monetary penalty in the amount of $750,000.
0000849542-25-000002	felonyOrMisdemeanor	1	Pershing Securities Australia Pty. Ltd (Pershing Australia)	Australian Securities & Investments Commission (ASIC) vs. Pershing Australia	15-NOV-2019	Downing Centre Local Court, Sydney, Australia	Pershing Australia was charged with three counts under the Australian Corporations Act 2001 (the Act). On May 5, 2020, Pershing Australia pled guilty to two investment-related counts related to securities clearance and settlement. Australian law does not recognize misdemeanors or felonies, but the fine will exceed $1000. Sequence 1: Pled guilty to breaching s993C(1) between 30 June 2016 and 16 December 2017 through making payments out of a client money account that were not permitted by Reg 7.8.02 of the Corporations Regulations 2001. Sequence 3: Pled guilty to breaching s993B(1) between 25 January 2016 and 31 December 2018 by receiving money in connection with financial services, and then failing to pay that money into an account complying with the client money requirements within s981B of the Act. Sequence 2: Charged for a one-time underpayment of 1,044.65 Australian dollars to its trust account on 21 August 2017.	On May 5, 2020, Pershing Australia pled guilty to Sequences 1 and 3, breaching s993C(1) and s993B(1) of the Act. Sentencing is expected to occur on July 27, 2020, and will consist only of a monetary fine and certain revised license conditions with ASIC.
0000849542-25-000002	falseStatementOrOmission	2	The Bank of New York Mellon (the Bank)	SEC Administrative Preceding File No. 3-17268	13-JUN-2016	U.S. Securities and Exchange Commission (SEC)	"On June 13, 2016, the SEC finalized a settlement with the Bank, an affiliate of the Registrant, relating to the Bank's standing instruction foreign exchange (""FX"") program. The SEC instituted a settled administrative proceeding against the Bank, finding that the Bank violated Section 34(b) of the Investment Company Act of 1940, and caused violations of Section 31(a) of the act and rule 31a-1(b) thereunder. The order required the Bank to cease and desist from such violations, pay a $30 million civil penalty, and disgorge $133,022,207 which is deemed satisfied by the Bank's prior payments in related settlements with the U.S. Attorney's Office for the Southern District of New York and The New York Attorney General. The order also required the Bank to report on its remediation and implementation of compliance measures relating to its standing instruction FX programs offered to registered investment adviser custodial clients."	See 10(c)(1)(v) above.
0000849542-25-000002	registrationDeniedOrSuspended	2	The Bank of New York Mellon	SEC Admin Proceeding File No. 3-12526	09-JAN-2007	U.S. Securities and Exchange Commission	See 10(c)(2) above.	See 10(c)(2) above.
0000849542-25-000002	authorizationDeniedOrSuspended	1	One or more control affiliates - See attached File for Questions 10 Data	See attached File for Questions 10 Data	17-DEC-2007	See attached File for Questions 10 Data	See attached File for Questions 10 Data	See attached File for Questions 10 Data
0000849542-25-000002	registrationDeniedOrSuspended	4	The Bank of New York Mellon (The Bank)	SEC Admin Preceeding File No. 3-17268	13-JUN-2016	The Securities and Exchange Commission (SEC)	See 10(c)(1)(v) above.	See 10(c)(1)(v) above.
0000849542-25-000002	registrationDeniedOrSuspended	3	The Bank of New York Mellon	SEC Admin Proceeding File No. 3-12269	24-APR-2006	U.S. Securities and Exchange Commission	See 10(c)(2) above.	See 10(c)(2) above.
0000849542-25-000002	registrationDeniedOrSuspended	1	One or more control affiliates - See attached File for Questions 10 Data	See attached File for Questions 10 Data	17-DEC-2007	See attached File for Questions 10 Data	See attached File for Questions 10 Data	See attached File for Questions 10 Data
0000849542-25-000002	falseStatementOrOmission	1	One or more controlled affiliates - See attached file for Question 10 Data	See attached file for Question 10 Data	17-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000849542-25-000002	fsrViolationOfInvestmentRelatedRegulation	1	One or more control affiliates - See attached file for Question 10 Data	See attached file for Question 10 Data	17-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000842657-25-000004	enjoinedInvestmentRelatedActivity	1	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	SEC Auction Rate Securities Action 6/3/09	09-JUN-2009	U.S. District Court, Southern District of New York	"The Registrant has not been the subject of this matter: Initiation date 6/3/2009. The SEC's complaint alleged that Deutsche Bank Securities Inc. (""DBSI"") misled its customers about the nature, liquidity and risks associated with Auction Rate Securities (""ARS"") that DBSI underwrote, marketed and sold and that DBSI reinforced the perception that ARS were safe and liquid by committing its own capital to support ARS auctions for which it served as the lead manager to ensure that those auctions did not fail. Without admitting or denying the allegations in the SEC complaint, DBSI consented to the entry of an injunction permanently enjoining it from engaging in violations of Section 15(C) of the Securities Exchange Act of 1934. The SEC has granted waivers, exemptions, and no-action relief from the collateral consequences of the injunction in areas under the SEC's jurisdiction. In addition to the injunction noted above, the judgment of the District Court requires DBSI to comply with the undertakings specified in the judgment, and provides that DBSI may be required to pay civil monetary penalties pursuant to Section 21(D)(3) of the Exchange Act. The undertakings require, among other things, that DBSI offer to purchase at par certain ARS from eligible investors; reimburse eligible investors that sold ARS below par; participate in a special arbitration procedure for consequential damages claims by eligible investors; work to provide liquidity solutions for institutional investors not part of the ARS buy back; agree not to liquidate its own inventory of a particular ARS without making that liquidity opportunity available, as soon as practicable, for eligible customers; and provide other relief as described in the judgment."	Without admitting or denying the allegations in the SEC complaint, DBSI consented to the entry of an injunction permanently enjoining it from engaging in violations of Section 15(C) of the Securities Exchange Act of 1934.
0000842657-25-000004	violationOfRegulations	1	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	CFTC DOCKET NO. 20-17	18-JUN-2020	"COMMODITY FUTURES TRADING COMMISSION (""CFTC"")"	"THE CFTC ALLEGES THAT AT VARIOUS TIMES BETWEEN JANUARY AND DECEMBER 2013, BY AND THROUGH THE ACTS OF TWO TOKYO-BASED TRADERS, ONE IN U.S. TREASURIES AND ONE IN U.S. TREASURIES AND EURO DOLLARS, DEUTSCHE BANK SECURITIES INC. (""DBSI"") ENGAGED IN THE PRACTICE OF ""SPOOFING""(BIDDING OR OFFERING WITH THE INTENT TO CANCEL THE BID OR OFFER BEFORE EXECUTION)."	ON JUNE 18, 2020, DBSI, WITHOUT ADMITTING OR DENYING THE ALLEGATIONS, DBSI AGREED TO CEASE AND DESIST FROM VIOLATING SECTION 4C(A)(5)(C) OF THE COMMODITY EXCHANGE ACT, AND PAY A CIVIL MONEY PENALTY OF $1,250,000, WHICH WAS TIMELY PAID ON JUNE 23, 2020.
0000842657-25-000004	enjoinedInvestmentRelatedActivity	2	DWS Investment GmbH (DWS), a control affiliate of the registrant.	Landgericht Frankfurt am Main. Aktenzeichen: 3-10 O 83/22	10-MAR-2023	Verbraucherzentrale Baden-Wurttemberg e.V. (VzBW)	The Verbraucherzentrale Baden-Wurttemberg e.V. (VzBW) alleged that DWS Investment GmbH (DWS) made misleading statements in violation of the German Act Against Unfair Competition (UWG) in two marketing documents for a fund entitled DWS Invest ESG Climate Tech used vis-a-vis consumers in Germany. On July 27, 2022, VzBW sent a letter (the Letter) to DWS demanding that DWS cease and desist from making certain statements in two marketing documents for a fund entitled DWS Invest ESG Climate Tech used vis-a-vis consumers in Germany which the VzBW alleged were in violation of the UWG. On August 18, 2022, DWS responded to the letter and denied the statements in the marketing documents were in violation of the UWG. On October 14, 2022, VzBW served DWS with the lawsuit, alleging the same violations as in the Letter, in the Landgericht Frankfurt am Main (the District Court of Frankfurt am Main). On March 7, 2023, DWS, without admitting or denying the allegations, agreed with VzBW to the Settlement, in which DWS and VzBW agreed that beginning March 22,2023, DWS would no longer use the two marketing documents for the fund DWS ESG Climate Tech vis-a-vis consumers in Germany without making certain changes to the marketing documents and issuing a corresponding declaration. Both DWS and VzBW subsequently declared that a court decision was no longer needed and the Landgericht Frankfurt am Main declared the lawsuit to be over without a court ruling on March 10, 2023 due to the Settlement.	DWS denied the accusations. DWS agreed to not use the 2 marketing documents for the fund w/o making certain changes to the marketing documents and issuing a corresponding declaration. The lawsuit was deemed to be over on 03/10/23 w/o a court ruling.
0000842657-25-000004	falseStatementOrOmission	1	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	United States Securities and Exchange Commission	19-JAN-2017	File No. 3-12514	"The Registrant has not been the subject of this matter: Amended filing date: 12/21/2006. On December 21, 2006 the SEC instituted and settled an administrative proceeding against Deutsche Bank Securities Inc. (""DBSI"") in connection with DBSI's alleged failure to properly supervise one of its former registered representatives who had engaged in deceptive market timing of mutual fund shares in client accounts. The SEC further alleged that DBSI, through the conduct of the former registered representative, violated Rule 22C-1(A), as adopted under section 22(C) of the Investment Company Act of 1940 by the conduct of the former registered representative entering late trades for at least one customer. The SEC alleged that the former registered representative received and entered orders to purchase, redeem or exchange mutual fund shares for the4:00 P.M. eastern time market close on certain occasions where customer orders received before 4:00 P.M. were blocked by fund companies as market timing trades. The customer orders entered into after 4:00 P.M. served as substitute orders for those that had been previously received and blocked before 4:00 P.M. The SEC also alleged that DBSI violated Section 15(B)(4)(E) of the Exchange Act because it allegedly failed to properly supervise the former registered representative who had engaged in the conduct. On December 21, 2006 the SEC also issued an order under Rule 602(E) of the Securities Act of1933 on behalf of Deutsche Asset Management, Inc., Deutsche Investment Management Americas, Inc., and Deutsche Bank Securities Inc., granting a waiver of the disqualification provision of Rule 602(C)(3). Without admitting or denying the SEC's allegations or findings, DBSI agreed to total payment of $442,954, consisting of $202,835 in disgorgement, $202,835 in civil penalty, and $37,284 in prejudgment interest. The fine of $442,954 was paid on January 19, 2007."	Without admitting or denying the SEC's allegations or findings, DBSI agreed to total payment of $442,954, consisting of $202,835 in disgorgement, $202,835 in civil penalty, and $37,284 in prejudgment interest. The fine was paid on January 19,2007.
0000842657-25-000004	falseStatementOrOmission	3	Deutsche Bank AG (DBAG), a Control Affiliate of the Registrant	15-20	23-APR-2015	"U.S. Commodity Futures Trading Commission (""CFTC"")"	"The Registrant has not been the subject of this matter: Date Initiated: 4/23/2015. Deutsche Bank AG (""DBAG""), Deutsche Bank Securities Inc.'s (""DBSI's"") Indirect Parent, agreed to settle charges of manipulation, attempted manipulation and false reporting relating to USD, GBP, JPY and CHF Libor and Euribor. Without admitting or denying the allegations, DBAG agreed to pay the fine of $800,000,000.00 which was paid on 5/1/15. DBAG was ordered to pay a fine of $800,000,000.00. The fine was paid on 5/1/15."	DBAG was ordered to pay a fine of $800,000,000.00. The fine was paid on 5/1/15.
